model,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold_from_val,val_f1,brier
CatBoost,0.7545023696682465,0.5256723716381418,0.7678571428571429,0.6240928882438317,0.8406612903225807,0.6417254271197609,0.31,0.6430868167202572,0.13882663517854807
Logistic Regression (baseline),0.7350710900473933,0.5011261261261262,0.7932263814616756,0.6142167011732229,0.8376555974816713,0.6158036957656868,,,
Logistic Regression,0.7469194312796209,0.5160493827160494,0.7464285714285714,0.6102189781021898,0.8311797235023042,0.5910304247654579,0.5650000000000001,0.6463022508038585,0.1763389639978646
XGBoost,0.7516587677725118,0.5231958762886598,0.725,0.6077844311377245,0.8383018433179723,0.6426712492266113,0.5800000000000001,0.6373983739837399,0.1692119538784027
MLP,0.7241706161137441,0.4878587196467991,0.7892857142857143,0.6030013642564802,0.8264930875576038,0.5924260617168666,0.485,,0.1768972825560526
