model,threshold_from_val,roc_auc,pr_auc,accuracy,precision,recall,f1
Logistic Regression,0.5650000000000001,0.8311797235023042,0.5910304247654579,0.7469194312796209,0.5160493827160494,0.7464285714285714,0.6102189781021898
MLP,0.485,0.8264930875576038,0.5924260617168666,0.7241706161137441,0.4878587196467991,0.7892857142857143,0.6030013642564802
