model,threshold_from_val,val_f1,roc_auc,pr_auc,accuracy,precision,recall,f1
XGBoost,0.5800000000000001,0.6373983739837399,0.8383018433179723,0.6426712492266113,0.7516587677725118,0.5231958762886598,0.725,0.6077844311377245
CatBoost,0.31,0.6430868167202572,0.8406612903225807,0.6417254271197609,0.7545023696682465,0.5256723716381418,0.7678571428571429,0.6240928882438317
Logistic Regression,0.5650000000000001,0.6463022508038585,0.8311797235023042,0.5910304247654579,0.7469194312796209,0.5160493827160494,0.7464285714285714,0.6102189781021898
